timestamp,id,hertz,acceleration,magnetic,gyro
2024-02-23T22:04:50.660060,2,10,"[0.50668018555, -0.7082754896000001, 8.31206750675]","[0.3325000000000001, -0.0567, -0.4944800000000001]","[-0.39400807863771997, -0.16707164264715724, 0.008093964406123704]"
2024-02-23T22:04:50.760134,2,10,"[0.49471607254999994, -0.6400800454999999, 10.1359965336]","[0.34678000000000003, -0.11522000000000002, -0.47054]","[-0.614377713317654, -0.18493945086444916, 0.038331793696925465]"
2024-02-23T22:04:50.860169,2,10,"[0.8542376682, -0.7573283529, 10.648060569999998]","[0.35546000000000005, -0.2023, -0.38430000000000003]","[-0.48487428281967476, -0.16905695467130077, 0.021227567027381034]"
2024-02-23T22:04:50.960246,2,10,"[0.5300102058999999, -0.37627135385, 11.0201444843]","[0.32634, -0.26838000000000006, -0.31822]","[-0.29581149159738895, -0.12889256525978124, -0.05406157358052436]"
2024-02-23T22:04:51.060290,2,10,"[0.08075776274999999, -0.0023928226, 10.24546816755]","[0.27678, -0.3451, -0.27692]","[-0.09941831751672701, -0.06963863715457375, -0.09147706942015281]"
2024-02-23T22:04:51.160379,2,10,"[0.20997018315, -0.0382851616, 10.998609080900001]","[0.22694000000000003, -0.39970000000000006, -0.26530000000000004]","[-0.09239336727744982, -0.09834930334988048, -0.07803803417979646]"
2024-02-23T22:04:51.260444,2,10,"[-0.23688943739999999, 0.31226334929999994, 9.84706320465]","[0.19698000000000002, -0.42686, -0.30394000000000004]","[0.08979719001510826, -0.09330966513474685, -0.015577063574049392]"
2024-02-23T22:04:51.360556,2,10,"[-0.19322042494999997, 0.79860454275, 10.511071476149999]","[0.18214000000000002, -0.44254000000000004, -0.31332000000000004]","[0.07376197751241036, -0.02932153143350474, -0.10430523942231112]"
2024-02-23T22:04:51.460567,2,10,"[0.17168502154999998, 0.63589260595, 8.91984444715]","[0.17878000000000002, -0.4548600000000001, -0.32774000000000003]","[-0.14049900478554353, -0.46731190722148175, -0.04535674393620265]"
2024-02-23T22:04:51.560671,2,10,"[-0.26859433685, 0.45044885445, 9.61495941245]","[0.17626000000000003, -0.46326000000000006, -0.31584]","[-0.10659598406555369, 0.1429424657383356, -0.04505131131710364]"
2024-02-23T22:04:51.660734,2,10,"[-0.4935196612499999, 0.49950171774999996, 10.173085283899999]","[0.16898000000000002, -0.4596200000000001, -0.31136]","[0.00015271630954950385, -0.15668693359779096, -0.021532999646480044]"
2024-02-23T22:04:51.760807,2,10,"[-0.30508488149999996, 0.6149554081999999, 10.0594262104]","[0.16618, -0.46522, -0.32480000000000003]","[0.039553524173321496, -0.025809056313866152, -0.00916297857297023]"
